,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
12.974,,640.39,23.03564131,c(640.390252003802, 641.388435812901),c(1, 0.318923882077358),12,c(19907.2536666757, 6348.89862087493),52.79760991,28,0,1,1,0,0,0,1,972,,,,,,,,,
12.1019,,660.204,23.00817115,c(660.204327614439, 661.206039460581),c(1, 0.500034658843156),12,c(3972.05830899354, 1986.16682144271),52.44207045,44,0,5,0,0,0,0,0,1017,,,,,,,,,
12.1181,,727.465,23.01477094,c(727.464900955308, 728.465727996256),c(1, 0.526255115342764),12,c(11060.1998319725, 5820.4867382887),52.52717746,46,0,4,1,0,0,0,0,1181,,,,,,,,,
12.1254,,765.485,23.09660909,c(765.484671660248, 766.503915366825),c(1, 0.472758726721617),12,c(6758.08034490174, 3194.94145893813),53.59901672,41,0,3,1,0,0,0,1,1254,,,,,,,,,
12.1371,,829.666,23.12122499,c(829.665701382373, 830.67224355802),c(1, 0.525879834884353),12,c(5738.55658206442, 3017.05581415351),53.92744363,46,0,6,0,0,0,0,0,1371,,,,,,,,,
12.1434,,875.673,23.1244361,c(875.67331316538, 876.675534248953),c(1, 0.552287894237935),12,c(5676.28939246658, 3134.9459156505),53.97049398,48,0,7,0,0,0,0,0,1434,,,,,,,,,
12.1465,,900.534,23.09399845,c(900.534232793873, 901.538387257554),c(1, 0.529992244858913),12,c(6472.3959798568, 3430.31967498011),53.56434999,46,0,6,0,0,0,1,0,1465,,,,,,,,,
12.159,,992.656,23.02959164,c(992.65578093946,993.6519087,994.6507497,995.6525803, 996.664395118509),c(1,0.945506524,0.420998256,0.130661224, 0.0397294244943685),12,c(59685.4311644083,56432.96454,25127.46245,7798.571508, 2371.26783086019),52.71901621,83,1,0,0,0,0,1,0,1590
12.1599,,1007.666,23.07182553,c(1007.66555770652, 1008.66626969039),c(1, 0.476521339821104),12,c(330842.897634817, 157653.700851239),53.27118366,42,0,3,0,0,0,1,0,1599,,,,,,,,,
12.1618,,1018.675,23.12983386,c(1018.67462676471, 1019.67479193077),c(1, 0.792884579736236),12,c(5816.72895804056, 4621.86443217917),54.04296824,70,0,12,0,0,0,0,0,1618,,,,,,,,,
12.1621,,1021.678,23.08304578,c(1021.67836100373,1022.679821,1023.682676,1024.68351, 1025.70048439038),c(1,0.479943426,0.155824795,0.036608378, 0.00397627218042998),12,c(647937.920644666,310973.5455,100964.7934,23719.95633, 2576.37752850503),53.41925258,42,0,3,0,0,0,1,0,1621
12.1646,,1043.655,23.07319127,c(1043.65540539241,1044.6581,1045.659228,1046.66005, 1047.66638256604),c(1,0.596892132,0.241709447,0.075535683, 0.0613491020072131),12,c(40818.690025952,24364.3549,9866.263008,3082.94694, 2504.18997820294),53.28917586,52,0,6,0,0,0,0,0,1646
12.17,,1089.645,23.08815526,c(1089.64519714934,1090.641083, 1091.62016544838),c(1,0.795168459, 0.879643831753851),12,c(3653.96083973877,2905.514409, 3211.72914888557),53.48687237,70,0,11,0,0,0,0,0,1700,,,,,,
12.1728,,1111.643,23.06044588,c(1111.64340441484, 1112.64376112886),c(1, 0.684900886565905),12,c(5030.30805036105, 3442.38052388727),53.12160229,60,0,8,0,0,0,0,0,1728,,,,,,,,,
12.174,,1123.858,23.08392363,c(1123.85836614483, 1124.85501159323),c(1, 0.830481718120435),12,c(854.55749600672, 698.274867215363),53.43086167,73,0,11,0,0,0,0,0,1740,,,,,,,,,
12.1779,,1155.865,23.10073227,c(1155.86528663911, 1156.86867039119),c(1, 0.772351212825922),12,c(3376.54904071045, 2617.71591162714),53.65383263,68,0,9,0,0,0,0,0,1779,,,,,,,,,
12.1781,,1157.632,23.10998062,c(1157.6318747338,1158.640203, 1159.61977431489),c(1,0.783389106, 0.633787317170332),12,c(2299.52768276117,1804.057369, 1460.22855034244),53.77707173,69,0,10,0,0,0,0,0,1781,,,,,,
12.1961,,1347.866,23.06738727,c(1347.86559128187, 1348.87917314433),c(1, 0.874748897187319),12,c(1465.24945223142, 1285.42849239738),53.21277364,77,0,10,0,0,0,0,0,1961,,,,,,,,,
12.1975,,1369.85,23.08754103,c(1369.84956681096, 1370.84621439527),c(1, 0.815931062795032),12,c(2112.50884966722, 1721.06576909264),53.47873715,72,0,8,0,0,0,1,0,1975,,,,,,,,,
16.4,,174.09,17.27444209,c(174.089625136265, 175.094501952111),c(1, 0.0994744508613716),16,c(13535.7586876252, 1340.56796465526),24.62159593,8,0,0,1,0,0,0,0,33,,,,,,,,,
16.115,,230.151,17.29394237,c(230.150759667096, 231.155655574995),c(1, 0.152226596559268),16,c(7990.50601596102, 1203.3816634082),24.63506636,13,0,1,0,0,0,0,0,93,,,,,,,,,
16.532,orientin (non-unique hit),448.1,17.2808302,c(448.100127480436,449.1044593,450.1088935, 451.111032725311),c(1,0.231408143,0.054796869, 0.00933331904104246),16,c(694175.503030809,160634.3131,38039.26935, 6478.87680775119),24.62598979,20,0,2,0,0,0,0,1,518,,,
16.737,,532.04,17.28967208,c(532.04001610015, 533.0646124248),c(1, 0.363026585745765),16,c(3338.00817253837, 1187.84675227863),24.63210179,32,0,5,0,0,0,0,0,732,,,,,,,,,
16.764,,548.016,17.27366176,c(548.016160163152,549.010083, 549.995389371839),c(1,0.367816095, 0.411685400279577),16,c(3780.14626952028,1397.803298, 1558.01490516109),24.62106046,32,0,5,0,0,0,0,0,759,,,,,,
16.1075,,680.266,17.29786922,c(680.26615406745, 681.273650374735),c(1, 0.433447189594472),16,c(5442.072266725, 2358.23581958863),24.63779984,38,0,4,0,0,0,0,1,1075,,,,,,,,,
16.1098,,692.195,17.27051931,c(692.195263368613, 693.195074095754),c(1, 0.352649037964869),16,c(10619.3372460357, 3744.30209231418),24.61890685,31,0,2,0,0,0,0,1,1098,,,,,,,,,
16.1233,,756.208,17.29711804,c(756.207948053994,757.2078762,758.2000736, 759.180118315342),c(1,0.396430602,0.21999403, 0.105960264003289),16,c(16993.000681398,6739.390054,3745.513721, 1809.11661373216),24.63727639,35,1,2,0,0,0,0,0,1233,,,
16.1411,,856.339,17.28492998,c(856.339397173886,857.3427874, 858.343855342248),c(1,0.484587036, 0.154973529910834),16,c(22277.2831025053,10793.72119, 3455.28312267074),24.62881939,42,0,4,0,0,0,0,1,1411,,,,,,
16.1459,,896.203,17.26423383,c(896.202958399152, 897.205908605906),c(1, 0.462573358022712),16,c(8326.13604944728, 3840.2672043079),24.61461248,41,0,3,0,0,0,0,1,1459,,,,,,,,,
16.149,,918.182,17.2850668,c(918.18233078639,919.1846275, 920.185344612976),c(1,0.585862013, 0.58678976064364),16,c(2479.51779358379,1459.905033, 1463.60576037126),24.62891395,51,0,6,0,0,0,0,0,1490,,,,,,
19.11,L-malic acid,134.022,1.601668678,c(134.02176750918, 135.024278709579),c(1, 0.0449523041453919),19,c(135135.648888909, 6074.01938946805),1.843398624,4,0,0,1,0,0,0,0,668,,,,,,,,,
19.64,kinic acid,192.062,1.580477835,c(192.062325545039, 193.067501838071),c(1, 0.0945008559896268),19,c(1099830.62318395, 103934.380893047),1.814512703,8,0,1,0,0,0,0,0,28,,,,,,,,,
19.158,,268.08,1.566410858,c(268.080047539419,269.0839872, 270.082827950205),c(1,0.10683515, 0.0386216036233912),19,c(123403.34460831,13186.13815, 4771.45319306826),1.795356379,9,1,0,0,1,0,0,0,138,,,,,,
19.175,,276.096,1.546863248,c(276.095840546007, 277.085910419197),c(1, 0.239993328623932),19,c(20294.5359079851, 4872.67995046783),1.768760718,21,0,2,0,0,0,1,0,155,,,,,,,,,
19.219,,312.099,1.547169552,c(312.099444060674,313.104235, 314.11594104341),c(1,0.199056171, 0.488929494679402),19,c(16751.861411103,3336.095514, 8196.13390178822),1.769177251,17,0,2,0,0,0,0,0,201,,,,,,
19.263,,334.069,1.582371577,c(334.069062831862,335.0788467, 336.083330355316),c(1,0.271427816, 0.344259382068451),19,c(14915.0899582387,4047.388587, 5135.52162834095),1.817092724,24,0,4,0,0,0,0,0,245,,,,,,
19.265,,338.086,1.548496106,c(338.085509999413, 339.088909186933),c(1, 0.157527676235278),19,c(85120.5909314336, 13408.4833472937),1.770981261,14,0,1,0,0,0,0,1,247,,,,,,,,,
19.297,,350.057,1.575035566,c(350.056980193404,351.0590605, 352.065149784349),c(1,0.191009147, 1.59505902197132),19,c(27273.3505015852,5216.802026, 43501.6866106919),1.8070997,17,0,2,0,0,0,0,0,279,,,,,,
19.402,,392.113,1.587772346,c(392.113155480624, 393.116893193066),c(1, 0.215732404459537),19,c(20721.2828792277, 4472.73338833911),1.824452192,19,0,2,0,0,0,0,1,387,,,,,,,,,
19.449,,416.153,1.587711602,c(416.152854075502, 417.155035106564),c(1, 0.176637310179357),19,c(47974.3596413517, 8473.54315732147),1.824369405,15,0,1,0,0,0,0,1,435,,,,,,,,,
19.543,,452.129,1.597861013,c(452.129068409848,453.131995,454.1253711, 455.125268839155),c(1,0.178812157,0.450462953, 0.0965274224454078),19,c(39825.6791312693,7125.034009,17942.91038, 3843.98327324682),1.838205715,15,0,0,0,0,0,0,1,529,,,
